word;score;index_c_a
браслета;11;3,39789527279837
сундучок;11;3,39789527279837
пятки;11;3,39789527279837
желобки;11;3,39789527279837
вкладыши;11;3,39789527279837
штанишках;11;3,39789527279837
мотыги;11;3,39789527279837
изоляторы;11;3,39789527279837
ракушки;11;3,39789527279837
портсигар;11;3,39789527279837
военкомат;11;3,39789527279837
волосики;11;3,39789527279837
кисточки;11;3,39789527279837
погон;11;3,39789527279837
сумраке;11;3,39789527279837
стропила;11;3,39789527279837
чеки;11;3,39789527279837
блиндаж;11;3,39789527279837
консервы;11;3,39789527279837
туфы;11;3,39789527279837
гороха;11;3,39789527279837
кис;11;3,39789527279837
мергеля;11;3,39789527279837
обоев;11;3,39789527279837
агрессоры;11;3,39789527279837
стаканчика;11;3,39789527279837
персики;11;3,39789527279837
балконы;11;3,39789527279837
струги;11;3,39789527279837
ягодицы;11;3,39789527279837
обруч;10,6667;3,36712673912673
дощечка;10,6667;3,36712673912673
пни;10,5;3,35137525716348
изваяния;10,5;3,35137525716348
кисет;10,5;3,35137525716348
флакон;10,5;3,35137525716348
стадионе;10,5;3,35137525716348
крючки;10,3333;3,33537169000538
комья;10,3333;3,33537169000538
дюн;10;3,30258509299405
горшке;10;3,30258509299405
прицеп;10;3,30258509299405
монокристаллы;10;3,30258509299405
кули;10;3,30258509299405
иконки;10;3,30258509299405
стаканы;10;3,30258509299405
медальон;10;3,30258509299405
витражи;10;3,30258509299405
кельях;10;3,30258509299405
велосипеды;10;3,30258509299405
полоз;10;3,30258509299405
кювет;10;3,30258509299405
бульваре;10;3,30258509299405
термос;10;3,30258509299405
флакончик;10;3,30258509299405
фил;10;3,30258509299405
песо;10;3,30258509299405
уборы;10;3,30258509299405
подкова;10;3,30258509299405
кварциты;10;3,30258509299405
шлейфы;10;3,30258509299405
шпалы;10;3,30258509299405
барельефы;10;3,30258509299405
цилиндрик;10;3,30258509299405
мединститут;10;3,30258509299405
баллон;10;3,30258509299405
переднике;10;3,30258509299405
питомнике;10;3,30258509299405
крючья;10;3,30258509299405
резиденций;10;3,30258509299405
камешки;10;3,30258509299405
комки;10;3,30258509299405
щиток;10;3,30258509299405
шалаше;10;3,30258509299405
штока;10;3,30258509299405
пюре;10;3,30258509299405
торосы;10;3,30258509299405
мединститута;10;3,30258509299405
лоскутья;10;3,30258509299405
скоба;10;3,30258509299405
литой;10;3,30258509299405
бруствер;10;3,30258509299405
зонтики;10;3,30258509299405
дворецкий;10;3,30258509299405
кружочков;10;3,30258509299405
кряжи;10;3,30258509299405
блузки;10;3,30258509299405
откосах;10;3,30258509299405
кишлаке;10;3,30258509299405
иголки;10;3,30258509299405
майки;10;3,30258509299405
ларь;10;3,30258509299405
штаны;9,8889;3,29141291599079
дымы;9,6667;3,26868698958828
плаще;9,6667;3,26868698958828
сучья;9,6667;3,26868698958828
щи;9,6667;3,26868698958828
поднос;9,6667;3,26868698958828
брызги;9,6;3,26176309847379
сапоги;9,5333;3,25479093264809
тяжи;9,5;3,2512917986065
конфеты;9,5;3,2512917986065
лома;9,5;3,2512917986065
вагончик;9,5;3,2512917986065
пальчики;9,5;3,2512917986065
колья;9,5;3,2512917986065
калоши;9,5;3,2512917986065
отвалы;9,5;3,2512917986065
бараки;9,5;3,2512917986065
ушки;9,5;3,2512917986065
подсвечник;9,5;3,2512917986065
покрывала;9,3333;3,23358865007215
уезд;9,2353;3,22303309823456
носки;9,2;3,21920348405499
зайчики;9;3,19722457733622
пиджаки;9;3,19722457733622
кюветах;9;3,19722457733622
кителя;9;3,19722457733622
накладкой;9;3,19722457733622
чешуйки;9;3,19722457733622
казематы;9;3,19722457733622
уксус;9;3,19722457733622
вырезы;9;3,19722457733622
тазик;9;3,19722457733622
салазках;9;3,19722457733622
таблетки;9;3,19722457733622
купальник;9;3,19722457733622
шкафчики;9;3,19722457733622
шелку;9;3,19722457733622
трусах;9;3,19722457733622
верстак;9;3,19722457733622
погребе;9;3,19722457733622
колышки;9;3,19722457733622
ковшик;9;3,19722457733622
холодильниках;9;3,19722457733622
улочках;9;3,19722457733622
печенья;9;3,19722457733622
седла;9;3,19722457733622
блях;9;3,19722457733622
тротуаров;9;3,19722457733622
тын;9;3,19722457733622
штырь;9;3,19722457733622
блиндаже;9;3,19722457733622
каратели;9;3,19722457733622
каземате;9;3,19722457733622
коронки;9;3,19722457733622
чурки;9;3,19722457733622
колпаке;9;3,19722457733622
развалинах;9;3,19722457733622
хозяйственники;9;3,19722457733622
носилках;9;3,19722457733622
гроздья;9;3,19722457733622
катка;9;3,19722457733622
урны;9;3,19722457733622
курень;9;3,19722457733622
баночки;9;3,19722457733622
дроги;9;3,19722457733622
пожарные;9;3,19722457733622
щитков;9;3,19722457733622
каштана;9;3,19722457733622
киты;9;3,19722457733622
простыни;9;3,19722457733622
балдахин;9;3,19722457733622
мостиков;9;3,19722457733622
майка;9;3,19722457733622
седле;9;3,19722457733622
котлованы;9;3,19722457733622
сом;9;3,19722457733622
ватнике;9;3,19722457733622
коридорчик;9;3,19722457733622
капканы;9;3,19722457733622
проезды;9;3,19722457733622
патрубки;9;3,19722457733622
гробик;9;3,19722457733622
щитка;9;3,19722457733622
заливы;9;3,19722457733622
сквере;9;3,19722457733622
сухарь;9;3,19722457733622
кронштейнах;9;3,19722457733622
заборчик;9;3,19722457733622
платки;9;3,19722457733622
яичник;9;3,19722457733622
пригорке;9;3,19722457733622
транспаранты;9;3,19722457733622
книжонки;9;3,19722457733622
доты;9;3,19722457733622
тигля;9;3,19722457733622
сита;9;3,19722457733622
мостики;9;3,19722457733622
костюмчике;9;3,19722457733622
настойки;9;3,19722457733622
подвесках;9;3,19722457733622
сухари;9;3,19722457733622
разводах;9;3,19722457733622
человечки;9;3,19722457733622
смерчи;9;3,19722457733622
плитка;8,6667;3,15948809549982
мясокомбинат;8,6667;3,15948809549982
цветочки;8,6667;3,15948809549982
галифе;8,6667;3,15948809549982
прииск;8,5;3,14006616349627
престоле;8,5;3,14006616349627
косички;8,5;3,14006616349627
столбики;8,5;3,14006616349627
срубы;8,5;3,14006616349627
полотнища;8,5;3,14006616349627
свитере;8,5;3,14006616349627
парашют;8,5;3,14006616349627
засов;8,5;3,14006616349627
коньки;8,5;3,14006616349627
особняке;8,3333;3,12025953619209
рюкзак;8,3333;3,12025953619209
оконца;8,3333;3,12025953619209
лагун;8;3,07944154167984
скупщики;8;3,07944154167984
полочка;8;3,07944154167984
сарафанах;8;3,07944154167984
шпилька;8;3,07944154167984
обоях;8;3,07944154167984
рояле;8;3,07944154167984
мысе;8;3,07944154167984
райкоме;8;3,07944154167984
голыш;8;3,07944154167984
метеоры;8;3,07944154167984
богословии;8;3,07944154167984
болты;8;3,07944154167984
узелков;8;3,07944154167984
жилетка;8;3,07944154167984
лодочка;8;3,07944154167984
муфтой;8;3,07944154167984
обелиски;8;3,07944154167984
дамб;8;3,07944154167984
капилляре;8;3,07944154167984
автохозяйства;8;3,07944154167984
элеваторов;8;3,07944154167984
пединституте;8;3,07944154167984
пылесос;8;3,07944154167984
завалов;8;3,07944154167984
ромбов;8;3,07944154167984
жбан;8;3,07944154167984
лодочки;8;3,07944154167984
баллонов;8;3,07944154167984
рации;8;3,07944154167984
лимузин;8;3,07944154167984
навеса;8;3,07944154167984
певчие;8;3,07944154167984
котелки;8;3,07944154167984
слияний;8;3,07944154167984
басе;8;3,07944154167984
стадионов;8;3,07944154167984
альдегиды;8;3,07944154167984
вешалка;8;3,07944154167984
свечении;8;3,07944154167984
кашне;8;3,07944154167984
стремена;8;3,07944154167984
протезы;8;3,07944154167984
погосте;8;3,07944154167984
колбочки;8;3,07944154167984
пятаки;8;3,07944154167984
дендриты;8;3,07944154167984
дерновины;8;3,07944154167984
заслонкой;8;3,07944154167984
ларьков;8;3,07944154167984
сарайчик;8;3,07944154167984
проигрыватель;8;3,07944154167984
личики;8;3,07944154167984
кафтаны;8;3,07944154167984
обрывах;8;3,07944154167984
глазках;8;3,07944154167984
плоскогорья;8;3,07944154167984
прерыватель;8;3,07944154167984
тропинок;8;3,07944154167984
упоров;8;3,07944154167984
комиссариате;8;3,07944154167984
шайбой;8;3,07944154167984
кисточка;8;3,07944154167984
бутоны;8;3,07944154167984
гобелены;8;3,07944154167984
аквариумы;8;3,07944154167984
заполнителя;8;3,07944154167984
носков;8;3,07944154167984
