word;score;index_c_a
 постоянный ;0,3465;-0,0598724603521792
 ежедневная ;0,3462;-0,0607386362400282
 почвенная ;0,3462;-0,0607386362400282
 хитрая ;0,3462;-0,0607386362400282
 первой ;0,3462;-0,0607386362400282
 колоссальный ;0,3462;-0,0607386362400282
 иванова ;0,3462;-0,0607386362400282
 ничтожный ;0,3455;-0,0627626357744124
 немецкого ;0,3448;-0,0647907401925991
 большое ;0,3448;-0,0647907401925991
 верный ;0,3448;-0,0647907401925991
 ускоренное ;0,3448;-0,0647907401925991
 средневековый ;0,3443;-0,0662419086376589
 первых ;0,3443;-0,0662419086376589
 вертикальное ;0,3438;-0,0676951860333881
 знаменитое ;0,3434;-0,0688593305187619
 чрезвычайный ;0,3429;-0,0703164195132624
 производственное ;0,3415;-0,0744075999712923
 знакомое ;0,3415;-0,0744075999712923
 мощное ;0,3412;-0,0752864633646131
 холодную ;0,3404;-0,0776338822829181
 капиталистическая ;0,34;-0,0788096613719298
 тайный ;0,3394;-0,0805759261820111
 чудный ;0,3385;-0,0832311866298072
 особая ;0,3382;-0,0841178425176572
 тельный ;0,338;-0,0847093834991182
 ведущий ;0,3375;-0,0861897686695525
 мирный ;0,3371;-0,087375656742122
 соответствующая ;0,3368;-0,0882659966139654
 точный ;0,3359;-0,0909417823638901
 новгородскую ;0,3333;-0,098712293668443
 беспересадочный ;0,3333;-0,098712293668443
 линейной ;0,3333;-0,098712293668443
 церемониальное ;0,3333;-0,098712293668443
 крупноблочный ;0,3333;-0,098712293668443
 дутая ;0,3333;-0,098712293668443
 обратных ;0,3333;-0,098712293668443
 всесокрушающий ;0,3333;-0,098712293668443
 этрусская ;0,3333;-0,098712293668443
 державинская ;0,3333;-0,098712293668443
 глубоководное ;0,3333;-0,098712293668443
 желудочная ;0,3333;-0,098712293668443
 мономолекулярный ;0,3333;-0,098712293668443
 фотонная ;0,3333;-0,098712293668443
 инициальный ;0,3333;-0,098712293668443
 эталонное ;0,3333;-0,098712293668443
 почечная ;0,3333;-0,098712293668443
 взаимные ;0,3333;-0,098712293668443
 весенние ;0,3333;-0,098712293668443
 божьего ;0,3333;-0,098712293668443
 безотказный ;0,3333;-0,098712293668443
 реализованное ;0,3333;-0,098712293668443
 существенной ;0,3333;-0,098712293668443
 сократовский ;0,3333;-0,098712293668443
 кистозная ;0,3333;-0,098712293668443
 опухолевый ;0,3333;-0,098712293668443
 школьную ;0,3333;-0,098712293668443
 непрозрачный ;0,3333;-0,098712293668443
 грешный ;0,3333;-0,098712293668443
 сахалинское ;0,3333;-0,098712293668443
 парикмахерской ;0,3333;-0,098712293668443
 тигриный ;0,3333;-0,098712293668443
 сладкой ;0,3333;-0,098712293668443
 необыкновенном ;0,3333;-0,098712293668443
 регулярную ;0,3333;-0,098712293668443
 межпартийное ;0,3333;-0,098712293668443
 полюсное ;0,3333;-0,098712293668443
 меньших ;0,3333;-0,098712293668443
 фосфорный ;0,3333;-0,098712293668443
 трудолюбивая ;0,3333;-0,098712293668443
 маскарадная ;0,3333;-0,098712293668443
 проамериканская ;0,3333;-0,098712293668443
 экстенсивное ;0,3333;-0,098712293668443
 бальная ;0,3333;-0,098712293668443
 обменное ;0,3333;-0,098712293668443
 нециклический ;0,3333;-0,098712293668443
 престарелых ;0,3333;-0,098712293668443
 цитологический ;0,3333;-0,098712293668443
 вольную ;0,3333;-0,098712293668443
 религиозные ;0,3333;-0,098712293668443
 лазерного ;0,3333;-0,098712293668443
 судный ;0,3333;-0,098712293668443
 светозарная ;0,3333;-0,098712293668443
 непериодическое ;0,3333;-0,098712293668443
 клеветнические ;0,3333;-0,098712293668443
 косвенные ;0,3333;-0,098712293668443
 занятые ;0,3333;-0,098712293668443
 урезанный ;0,3333;-0,098712293668443
 немногочисленные ;0,3333;-0,098712293668443
 ломаное ;0,3333;-0,098712293668443
 поэтических ;0,3333;-0,098712293668443
 среднегодовые ;0,3333;-0,098712293668443
 конечных ;0,3333;-0,098712293668443
 ростовщический ;0,3333;-0,098712293668443
 генеративная ;0,3333;-0,098712293668443
 древнеиндийский ;0,3333;-0,098712293668443
 наименьший ;0,3333;-0,098712293668443
 таджикская ;0,3333;-0,098712293668443
